ulasan_bersih,emosi,urgensi
coba bagus moga bagus,senang,1
packing aman fiturnya aplikasi,normal,1
barang darat selamatt sesuai pesan garansinys lagiii keren bgt bjiirrr,senang,1
mantap bet tws nya byk bgt fitur nya thanks ya min,senang,1
jos mantap kualitas tws juta ya,senang,1
suara jernih nyaman telinga,senang,1
barang terima packing ok aman bnget tws nya blum coba,normal,1
barang bgs bget recomendet garansi,normal,1
suara juoossss mantep bassnya wajib beli,normal,1
ngeri bassnya harga gin josslah kirim bikin kesel ama kurir,normal,1
puas produk sayang kirim kecewa mesan estimasi kirim lambat tanggal nov tanggal barang ubah tgl nov saran pakai kurir rekomendasi tokped belanja olshop kali kasih rating bawah,kecewa,3
packing aman suara bagus mewah,senang,1
barang bags pengirimaan kilaat bgt cuman pes joos,normal,1
warna yg kirim sesuai pesan saran utk seller konfirmasi jual produk yg pes sedia tawar opsi sepakat produk yg kirim,senang,1
barang kualitas bintang maaf kurir kasih bintang main lempar aja,normal,1
packing mantap kirim cepat recommended dah pokok makasih kak,senang,1
recommended tws rentang harga tau rekomendasi gadgetin,senang,1
kualitas baik kirim cepat mantap,senang,1
tws nya off belah coba d reset ikutin manual book off belah,normal,1
puas banget harga sabat ga dompet kuras,senang,1
mantapp dengerin music ok meeting ok,normal,1
suara bagus build quality jg oke,senang,1
tws mentang mentang laris qc nya jelek pakai gak charge belah stuck barang cacat,kecewa,3
bagus respon jual sgt cepat thanks,senang,1
kali beli gara yg satu ilang jalan,normal,1
battery awet suara bass,normal,1
packing aman barang lengkap moga awet,normal,1
sesuai harap moga tws nya awet,senang,1
mantap soundnya bassnya kenceng,senang,1
barang bagus cepat packing okeh bagus uhu,senang,1
packing rapi barang lecet,normal,1
overall lumayan harga segitu anker emang gak kecewa,kecewa,3
bagus suara bagus harga,senang,1
suara bass gak udah kayak headset murah edar jalan mending headset oppo bawaaan hp,normal,1
mohon kurir tanggung amanah,normal,1
beli x soundcore ri soundcore life pi bagus bagus bgt,senang,1
mantapp bass nya mainnn,normal,1
trmksh sdh terima sesuai pesan bass nya mantul,senang,1
bagus ekonomis original kualitas,senang,1
kualitas mantap bass ok suara clear,senang,1
bagus barang ori pwngiriman cepat,senang,1
barang fungsi normal,normal,1
keren banget lucuu pinkeuu bngett gemashh bassnya mntep sih,senang,1
produk sesuai deskripsi seller ramah,senang,1
mantaaap barang coba keren bassnya moga awet kirim cepaat terima kasih,senang,1
barang tuju sesuai ekspektasi bagus banget,senang,1
mantep iem harga gin respon kirim gercep,normal,1
mantap soundcore respon cepat kurir josss,senang,1
sayang bgt layan nya sen instant jam kirim hari nya pokok kapok saran aja kalo beli buru mending kecewa,marah,3
bom dicobain sih moga awet dah tws,normal,1
kirim efek libur lebaran gpp yg barang dgn selamat,normal,1
fiturnya suara bagus,senang,1
barang smp blm coba kna hadiah moga muas bintang update tengkiu seller,normal,1
sesuai deskripsi fungsi,senang,1
barang nya keren ges wort it harga rebu,senang,1
cepat sampe a kira suara jooosss dgn harga gin bass joosss pko a juuuoozzz ganduuuoozzz laaah,senang,1
worth it banget,normal,1
suara top banget range harga,senang,1
produk seller kurir sicpt halu soundcore,normal,1
mantap kualitas ok suara bass nya,senang,1
sesuai pesan fungsi normal,senang,1
suara mantap nyaman telinga,senang,1
ok sesuai pesan packing aman,senang,1
sen kemaren sore nyampe nya sore awet bgt lgi tws nya,normal,1
keren udah sen kali pokok mantap bas oke vokal ok pas pokok,senang,1
harga hemat kualitas hebat bener mantebbb,normal,1
keren suara enak bass nya mantab,senang,1
mantap sesuai ekspektasi,senang,1
produk bagus nyaman,senang,1
mantul pkoknya suara smuanya mantapp,normal,1
kesan muas moga awet cepet sampe butuh langsung darat selamat,normal,1
utk harga gin puas bgt sih jernih moga awet thankyou,senang,1
packing aman suara bagus,senang,1
serasa barang mahal kualitas,normal,1
good nendang bass ad apk nya,normal,1
kirim cepat barang mantap moga awet aamiin thanks soundcore anker,senang,1
enak banget bassnya batre awet,normal,1
lumayan bagus bass dominan,senang,1
fast respon keduakali pesan,normal,1
paket barang sesuai ekspektasi,senang,1
mantap joss tws nya murmer kualitas,senang,1
bagus hedsetnya enak telinga,senang,1
mantap baik soundcore bassnya mantap kali,senang,1
kualitas bagus packing rapih,senang,1
harga murah kualitas gk murah mantap,senang,1
mantaps bass lumayan nendang,normal,1
kirim cepat kualitas barang bagus,senang,1
joss mah kaum basss head,normal,1
suara mantap cepat jos gandos,senang,1
terimakasih pesan,normal,1
kerenn price to performace,normal,1
mantap suara nya kirim cepat,senang,1
terimakasih barang buka coba moga fungsi,normal,1
lumayan tinggal eksekusi aja josss cepet kirim,normal,1
barang unboxd hasil muas,normal,1
kirim cepat bqrang sesuai pesan moga awet,senang,1
muantab sesuai review rame youtube,senang,1
barang fungsi,normal,1
terima kasih barang selamat moga awet ya barang sukses gan mantab joss banget moga sehat amiiinn,normal,1
tws wenak harga ciamik build josjis kirim waswuz edan iso ya tokcer pokok e,normal,1
kelas harga worth banget,normal,1
buah pisang goreng hangus mantap pis gaeessssss,senang,1
keren suara nya ngebass mantap,senang,1
barang kirim sesuai pesan beli ri yg kirim ai harga kualitas beda official store salah kirim kayak respon complain,senang,1
paket aman selamat cek kondisi aman moga awet umur barang,normal,1
cakkeeppppp yg tunggu tunggu dateng manteppp poko mah barangya packing aman baik gaeessss,normal,1
mantep euy packing nya tipis bet,normal,1
barang fungsi moga awet,normal,1
tws fungsi kirim lancar,normal,1
mantspppp josss gokil banget kualitasnyaa,normal,1
keres sih harga gin po bayar bintang,normal,1
barang sesuai pesan mantap top,senang,1
alhamdulillah tws nya sampe ntb terima kasih seller,normal,1
terimakasih admin cepat suka pokok,senang,1
kualitas bagus kirim cepat,senang,1
mantap moga awet kualitas ragu,senang,1
barang sesuai deskripsi mudah awet,senang,1
mantap beli ri coba oke banget kurir terimakasih,senang,1
harga tawar tws worth it beli,normal,1
respon cepat barang bagus sesuai order,senang,1
paket udah coba mantap bgt nih tambah settingan aplikasi moga awwet,senang,1
packing aman kirim cepat suarah kereeen banget moga awet ya gan,senang,1
rekom temen tws k udah bagus lumayan cepet nyampe nya,senang,1
barang tuju selamat kualitas mantap sesuai harga,senang,1
mantap bnget bass ny,senang,1
bagus amp fungsi dgn,senang,1
packing beranta kotak rusak,normal,1
barang baguss suara okee,normal,1
moga bagus baguss bagikbag uss bagukka,senang,1
fungsi moga awet,normal,1
bas manteb warna biru cantik banget,normal,1
barang sesuai mantabsss suara jernihhhh,senang,1
keren suara mantap,senang,1
barang dah terima sesuai deskripsi mantap gan,senang,1
performa mantap kualitas bagus,senang,1
peking aman byk yg penyok,normal,1
moga awet maka bagus kelas,senang,1
bass nya enak insya allah awet,normal,1
packing aman barang bagus sesuai,senang,1
gak lepas dr kuping,normal,1
udah order barang gak kecewa,kecewa,3
rada kecewa sihh desain beda jual toko oren,kecewa,3
produk muas mantap soundcore,senang,1
barang terima kirim cepat moga barang awet,senang,1
rim ngebut parah beli tanggal tanggal sampe barang bagus worth it,marah,3
packing aman produk sesuai gambar,senang,1
nice beli kali tws moga awet,normal,1
packing rapih barang bagus puas,senang,1
gwhhwh hshsiw jssbsj aja haus ajhas ja s sha a a ah a a,normal,1
baguss,normal,1
oke mantap bass nya jos mudah an awet,senang,1
deep bass makasih smoga awet,normal,1
suara mantep barang original,normal,1
the best bgt si harga,normal,1
pokok nya beli sumpah keren bgt moga awet,marah,3
barang cepat kirim mantap moga awet,senang,1
moga awet fungsi dgn,normal,1
packing aman bareng bagus,senang,1
terimakasih barang udah nyampe kirim cepat,senang,1
sesuai pesan suara mannntaabbbb,senang,1
barang darat sempurna aman,normal,1
harga sesuai barang baju tipis pendek kecewa,kecewa,3
ukur nya kecil bahan nya tipis bngt ngk sesuai ama gambar deskripsi kualitas produk jelek bnget,kecewa,3
sumpah barang nya ngak sesuai bahan nya aja tipis nyesel gua beli kaos kaya kaos partai,marah,3
sumpah bagus bangetttttttt laris terussss yahh makasih amanah,marah,3
ukur nya sesuai pesan asli kecewa sen yg dateng nya,kecewa,3
bahan bagus tipis bagus gak kecewa beli,kecewa,3
kualitas produk bahan bagus enak sejuk lupa checkout teman bahan gk bikin kecewa,kecewa,3
barang nya bagus cuman aja bikin kecewa ukur nya nggak sesuai kirim,kecewa,3
ukur sesuai pesan xl yg l kecewa,kecewa,3
baju jelek tipis kirain oversize oversize,kecewa,3
barang nya jelek bahan nya aneh banget ukur xl,kecewa,3
tipis setip tisu kualitas produk jelek yah uda,kecewa,3
bahan nya jelek banget panas,marah,3
jelek ukur sen yg xxl tp datang kyk ukur m beli deh pokok,kecewa,3
sablon nya baguss sayang kain tipiss baju jelek baguss,kecewa,3
kecewa ukur xl kaya ukur m banget nya oversize ternyara minimsize,kecewa,3
tipis dasar baju jelek,kecewa,3
bahanny tipis kecewa,kecewa,3
kecewa xl,kecewa,3
bagus bet sumpah,marah,3
baguss kecewa,kecewa,3
kecewa barang tida sesuai,kecewa,3
jelek kain,kecewa,3
kecewa,kecewa,3
kecewa beli toko julan gk cek barang nya sobek gede jual rugi banget,kecewa,3
kecewa sablon ngecrek parah,marah,3
sumpah bagus banget kirim yh cepet kualitas bagus bahan yaman harga murah,marah,3
jelek banget bahanya tipis ga sesuai gambar,marah,3
sumpah ga expect bagus banget lumayan tebel harga k abis tu oversize lagi langgan deh toko,marah,3
ahhhh kecewa beli bagus banget gk nyesel dah,kecewa,3
kecewa tmbhkna deskripsi marun dn hitam kirim maron,kecewa,3
gak sesuai pese merah yg nunggunya kecewa,kecewa,3
barang sesuai expetasi murah original bagus kecewa packing aman bubble warp tebal kirim cepat kurir antar sesuai cepat terima kasih reseller sukses next time order,kecewa,3
eh kocak gua kn mesen nya balet footbal marun yg dateng kecewa guaa jirr,kecewa,3
kain jelek panas jahit rapi,kecewa,3
alhamdulillah barang nya sdh bahan ok banget toko nya amanah bahan nya tebal dingin gk kecewa la pokok nya,kecewa,3
bgus sih parah udah abu hitam karna sbgus ituh mna dpat harga murah klau d pasar mah ituh rada lmyan hrga nya klian co gk mikir buru bagus bnget,marah,3
kecewa banget maroon sen maroon bisa krim silver woy tolong yg amanah yaa jualannyaa,kecewa,3
sumpah bgus bgt bhan nya lembut enakeuuun dipake poko the best mksih seler,marah,3
bahan nya jelek trus jahit ngk rapih tdk sesuai gambar pendek baju nya,kecewa,3
jelek bgt tipis beda sm yg gambar gk relpic,kecewa,3
kecewa bangtt sen nyh warna marun warna abu,kecewa,3
tipis parah udah kaya saring kelapa sablon beranta pd kerut,marah,3
bagus harga segitu kecewa,kecewa,3
baju bagus gk kecewa,kecewa,3
kecewa tpi sesuai harga sih,kecewa,3
maaf ksh ulas barang dah cm syng jahit jelek g rapih,kecewa,3
kaos jelek kasih,kecewa,3
ga sesuai warna mesen nya warna merah yg sampe marun tolong d teliti sen orang bikin orang kecewa,kecewa,3
tida d gambar kecewa,kecewa,3
sumpah suka banget,marah,3
pokok kecewa suka banget,kecewa,3
mff sy kecewa kurir jdi mood sy ga,kecewa,3
beli gak kecewa,kecewa,3
kecewa jelek tipis,kecewa,3
jelek bngt bahan nya,kecewa,3
jelek gak sesuai expetasi,kecewa,3
barang jelek,kecewa,3
mouse tidak sesuai deskripsi proses retur dipersulit harap proses retur hari ini packaging asal asalan,marah,3
scanner datang wifi tidak stabil paket datang rusak akan lapor jika tidak diselesaikan cepat,marah,3
router kabel putus komplain diabaikan mohon tanggung jawab foto dan kenyataan berbeda jauh,marah,3
mouse error sistem alamat sudah benar tapi nyasar komplain diabaikan saya minta solusi sekarang,marah,3
microphone touchscreen tidak responsif janji refund tapi tidak jelas kapok belanja di sini packaging asal asalan,marah,3
scanner rusak parah tidak sesuai deskripsi sama sekali saya minta solusi sekarang,marah,3
lampu pintar datang port longgar barang datang terlambat banget saya minta solusi sekarang,marah,3
kamera port longgar box penyok parah janji refund tapi tidak jelas mohon tanggung jawab,marah,3
kamera baterai drop barang datang terlambat banget janji refund tapi tidak jelas kapok belanja di sini,marah,3
kabel data tidak connect bluetooth komplain diabaikan mohon tanggung jawab tidak sesuai deskripsi sama sekali,marah,3
hp sudah bekas alamat sudah benar tapi nyasar tidak mau tanggung jawab akan lapor jika tidak diselesaikan cepat,marah,3
flashdisk tidak connect bluetooth kurir tidak sopan komplain diabaikan harap proses retur hari ini,marah,3
tablet komponen tidak lengkap tidak layak jual akan lapor jika tidak diselesaikan cepat,marah,3
charger wifi tidak stabil kualitas jauh di bawah ekspektasi minta ganti baru segera,marah,3
smartphone error sistem tidak layak jual akan lapor jika tidak diselesaikan cepat,marah,3
printer datang port longgar paket datang rusak kapok belanja di sini,marah,3
printer datang tidak bisa dicharge alamat sudah benar tapi nyasar akan lapor jika tidak diselesaikan cepat,marah,3
alat elektronik kamera blur penjual tidak responsif akan lapor jika tidak diselesaikan cepat tidak sesuai deskripsi sama sekali,marah,3
adapter sinyal hilang foto dan kenyataan berbeda jauh mohon tanggung jawab,marah,3
kabel data sinyal hilang tidak mau tanggung jawab minta ganti baru segera foto dan kenyataan berbeda jauh,marah,3
mouse tidak terbaca di komputer tidak mau tanggung jawab akan lapor jika tidak diselesaikan cepat baru dipakai sebentar langsung rusak,marah,3
printer port longgar penjual tidak responsif harap proses retur hari ini sudah bayar ekspres tapi tetap lambat,marah,3
headset komponen tidak lengkap foto dan kenyataan berbeda jauh tolong segera refund,marah,3
laptop tidak sesuai deskripsi kurir tidak sopan proses retur dipersulit mohon tanggung jawab,marah,3
powerbank tidak connect bluetooth janji refund tapi tidak jelas tolong segera refund tidak sesuai deskripsi sama sekali,marah,3
tv datang tidak menyala paket datang rusak kapok belanja di sini,marah,3
monitor datang rusak parah status tertahan berhari hari akan lapor jika tidak diselesaikan cepat,marah,3
keyboard datang touchscreen tidak responsif paket hilang di perjalanan saya minta solusi sekarang,marah,3
alat elektronik datang layar retak paket hilang di perjalanan harap proses retur hari ini,marah,3
monitor layar retak paket hilang di perjalanan proses retur dipersulit minta ganti baru segera,marah,3
kabel data touchscreen tidak responsif kurir tidak sopan janji refund tapi tidak jelas harap proses retur hari ini,marah,3
flashdisk datang tidak menyala paket datang rusak saya minta solusi sekarang,marah,3
alat elektronik cepat panas baru dipakai sebentar langsung rusak tolong segera refund,marah,3
smartphone datang kabel putus box penyok parah akan lapor jika tidak diselesaikan cepat,marah,3
monitor rusak parah foto dan kenyataan berbeda jauh minta ganti baru segera,marah,3
keyboard datang wifi tidak stabil alamat sudah benar tapi nyasar tolong segera refund,marah,3
tripod touchscreen tidak responsif kualitas jauh di bawah ekspektasi tolong segera refund,marah,3
headset sinyal hilang sudah bayar ekspres tapi tetap lambat mohon tanggung jawab,marah,3
saya kecewa laptop mati total diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
smartwatch datang baterai drop kurir tidak sopan minta ganti baru segera,marah,3
saya kecewa kabel data komponen tidak lengkap janji refund tapi tidak jelas kapok belanja di sini,marah,3
tripod sudah bekas kualitas jauh di bawah ekspektasi tolong segera refund,marah,3
saya kecewa speaker bluetooth mati total diminta bukti bertele tele mohon tanggung jawab,marah,3
tv kabel putus baru dipakai sebentar langsung rusak minta ganti baru segera,marah,3
printer tidak connect bluetooth tidak layak jual akan lapor jika tidak diselesaikan cepat,marah,3
tablet datang error sistem status tertahan berhari hari tolong segera refund,marah,3
adapter cepat panas penjual tidak responsif saya minta solusi sekarang packaging asal asalan,marah,3
adapter tidak berfungsi kualitas jauh di bawah ekspektasi saya minta solusi sekarang,marah,3
adapter datang mati total kurir tidak sopan harap proses retur hari ini,marah,3
powerbank datang sinyal hilang box penyok parah mohon tanggung jawab,marah,3
drone kamera blur tidak layak jual tolong segera refund,marah,3
monitor rusak parah penjual tidak responsif harap proses retur hari ini baru dipakai sebentar langsung rusak,marah,3
powerbank datang baterai drop box penyok parah saya minta solusi sekarang,marah,3
smartwatch layar retak paket hilang di perjalanan penjual tidak responsif minta ganti baru segera,marah,3
router suaranya pecah tidak mau tanggung jawab minta ganti baru segera tidak sesuai deskripsi sama sekali,marah,3
saya kecewa smartwatch error sistem penjual tidak responsif kapok belanja di sini,marah,3
kabel data datang tidak connect bluetooth pengiriman sangat lama kapok belanja di sini,marah,3
adapter datang layar retak status tertahan berhari hari saya minta solusi sekarang,marah,3
projector komponen tidak lengkap paket datang rusak diminta bukti bertele tele tolong segera refund,marah,3
tripod datang kabel putus status tertahan berhari hari akan lapor jika tidak diselesaikan cepat,marah,3
tripod touchscreen tidak responsif box penyok parah komplain diabaikan akan lapor jika tidak diselesaikan cepat,marah,3
monitor datang sudah bekas status tertahan berhari hari akan lapor jika tidak diselesaikan cepat,marah,3
mouse tidak sesuai deskripsi pengiriman sangat lama proses retur dipersulit saya minta solusi sekarang,marah,3
drone datang baterai drop box penyok parah harap proses retur hari ini,marah,3
set top box touchscreen tidak responsif kurir tidak sopan penjual tidak responsif minta ganti baru segera,marah,3
earphone datang wifi tidak stabil alamat sudah benar tapi nyasar akan lapor jika tidak diselesaikan cepat,marah,3
tablet cepat panas status tertahan berhari hari komplain diabaikan minta ganti baru segera,marah,3
saya kecewa lampu pintar error sistem diminta bukti bertele tele kapok belanja di sini,marah,3
tablet datang komponen tidak lengkap paket hilang di perjalanan mohon tanggung jawab,marah,3
printer suaranya pecah paket datang rusak penjual tidak responsif saya minta solusi sekarang,marah,3
harddisk suaranya pecah packaging asal asalan kapok belanja di sini,marah,3
saya kecewa set top box suaranya pecah tidak mau tanggung jawab mohon tanggung jawab,marah,3
earphone tidak berfungsi sudah bayar ekspres tapi tetap lambat saya minta solusi sekarang,marah,3
flashdisk komponen tidak lengkap tidak layak jual kapok belanja di sini,marah,3
saya kecewa printer komponen tidak lengkap janji refund tapi tidak jelas akan lapor jika tidak diselesaikan cepat,marah,3
monitor datang kamera blur barang datang terlambat banget harap proses retur hari ini,marah,3
speaker bluetooth tidak connect bluetooth proses retur dipersulit harap proses retur hari ini foto dan kenyataan berbeda jauh,marah,3
smartwatch error sistem status tertahan berhari hari penjual tidak responsif mohon tanggung jawab,marah,3
alat elektronik tidak menyala kurir tidak sopan proses retur dipersulit saya minta solusi sekarang,marah,3
saya kecewa scanner layar retak proses retur dipersulit harap proses retur hari ini,marah,3
set top box datang sinyal hilang box penyok parah harap proses retur hari ini,marah,3
ssd datang baterai drop alamat sudah benar tapi nyasar akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa set top box suaranya pecah diminta bukti bertele tele mohon tanggung jawab,marah,3
saya kecewa tv cepat panas janji refund tapi tidak jelas saya minta solusi sekarang,marah,3
kamera rusak parah paket hilang di perjalanan diminta bukti bertele tele minta ganti baru segera,marah,3
speaker bluetooth datang sinyal hilang kurir tidak sopan kapok belanja di sini,marah,3
speaker bluetooth datang rusak parah box penyok parah tolong segera refund,marah,3
saya kecewa scanner mati total diminta bukti bertele tele saya minta solusi sekarang,marah,3
lampu pintar mati total alamat sudah benar tapi nyasar penjual tidak responsif mohon tanggung jawab,marah,3
drone sinyal hilang tidak layak jual kapok belanja di sini,marah,3
saya kecewa headset layar bergaris tidak mau tanggung jawab tolong segera refund,marah,3
powerbank port longgar status tertahan berhari hari janji refund tapi tidak jelas akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa drone komponen tidak lengkap proses retur dipersulit saya minta solusi sekarang,marah,3
router datang wifi tidak stabil kurir tidak sopan kapok belanja di sini,marah,3
saya kecewa speaker bluetooth tidak menyala janji refund tapi tidak jelas tolong segera refund,marah,3
microphone datang layar retak box penyok parah saya minta solusi sekarang,marah,3
set top box port longgar box penyok parah tidak mau tanggung jawab akan lapor jika tidak diselesaikan cepat,marah,3
drone datang sudah bekas paket datang rusak tolong segera refund,marah,3
printer touchscreen tidak responsif kurir tidak sopan diminta bukti bertele tele tolong segera refund,marah,3
saya kecewa monitor mati total proses retur dipersulit tolong segera refund,marah,3
earphone tidak menyala barang datang terlambat banget penjual tidak responsif akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa set top box kamera blur tidak mau tanggung jawab kapok belanja di sini,marah,3
monitor komponen tidak lengkap tidak layak jual kapok belanja di sini,marah,3
tripod datang suaranya pecah status tertahan berhari hari mohon tanggung jawab,marah,3
saya kecewa flashdisk kabel putus janji refund tapi tidak jelas harap proses retur hari ini,marah,3
scanner datang touchscreen tidak responsif paket datang rusak mohon tanggung jawab,marah,3
saya kecewa modem tidak bisa dicharge penjual tidak responsif tolong segera refund,marah,3
monitor tidak berfungsi komplain diabaikan minta ganti baru segera rugi waktu dan uang,marah,3
mouse tidak terbaca di komputer baru dipakai sebentar langsung rusak harap proses retur hari ini,marah,3
smartphone tidak berfungsi box penyok parah janji refund tapi tidak jelas harap proses retur hari ini,marah,3
charger baterai drop rugi waktu dan uang kapok belanja di sini,marah,3
saya kecewa set top box layar bergaris tidak mau tanggung jawab kapok belanja di sini,marah,3
monitor datang layar retak kurir tidak sopan akan lapor jika tidak diselesaikan cepat,marah,3
headset error sistem paket datang rusak komplain diabaikan kapok belanja di sini,marah,3
lampu pintar baterai drop barang datang terlambat banget janji refund tapi tidak jelas harap proses retur hari ini,marah,3
smartwatch sinyal hilang proses retur dipersulit minta ganti baru segera tidak layak jual,marah,3
lampu pintar tidak bisa dicharge penjual tidak responsif kapok belanja di sini tidak sesuai deskripsi sama sekali,marah,3
tablet touchscreen tidak responsif paket datang rusak proses retur dipersulit kapok belanja di sini,marah,3
saya kecewa speaker bluetooth touchscreen tidak responsif tidak mau tanggung jawab saya minta solusi sekarang,marah,3
saya kecewa earphone tidak berfungsi janji refund tapi tidak jelas tolong segera refund,marah,3
saya kecewa microphone layar retak tidak mau tanggung jawab kapok belanja di sini,marah,3
headset tidak terbaca di komputer tidak mau tanggung jawab minta ganti baru segera packaging asal asalan,marah,3
modem tidak sesuai deskripsi penjual tidak responsif kapok belanja di sini tidak layak jual,marah,3
smartphone layar retak proses retur dipersulit saya minta solusi sekarang sudah bayar ekspres tapi tetap lambat,marah,3
smartwatch wifi tidak stabil proses retur dipersulit kapok belanja di sini sudah bayar ekspres tapi tetap lambat,marah,3
router cepat panas kurir tidak sopan diminta bukti bertele tele akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa adapter wifi tidak stabil komplain diabaikan akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa earphone tidak terbaca di komputer janji refund tapi tidak jelas saya minta solusi sekarang,marah,3
tablet error sistem baru dipakai sebentar langsung rusak saya minta solusi sekarang,marah,3
tv datang tidak sesuai deskripsi kurir tidak sopan harap proses retur hari ini,marah,3
saya kecewa harddisk rusak parah komplain diabaikan minta ganti baru segera,marah,3
earphone datang layar bergaris paket datang rusak minta ganti baru segera,marah,3
alat elektronik datang sinyal hilang paket hilang di perjalanan tolong segera refund,marah,3
modem wifi tidak stabil foto dan kenyataan berbeda jauh saya minta solusi sekarang,marah,3
modem error sistem proses retur dipersulit kapok belanja di sini sudah bayar ekspres tapi tetap lambat,marah,3
smartwatch tidak sesuai deskripsi sudah bayar ekspres tapi tetap lambat tolong segera refund,marah,3
tv baterai drop rugi waktu dan uang kapok belanja di sini,marah,3
smartphone kamera blur barang datang terlambat banget janji refund tapi tidak jelas harap proses retur hari ini,marah,3
printer datang tidak sesuai deskripsi status tertahan berhari hari harap proses retur hari ini,marah,3
powerbank error sistem foto dan kenyataan berbeda jauh kapok belanja di sini,marah,3
scanner layar bergaris pengiriman sangat lama janji refund tapi tidak jelas akan lapor jika tidak diselesaikan cepat,marah,3
microphone cepat panas foto dan kenyataan berbeda jauh saya minta solusi sekarang,marah,3
microphone tidak sesuai deskripsi penjual tidak responsif tolong segera refund kualitas jauh di bawah ekspektasi,marah,3
saya kecewa lampu pintar kabel putus proses retur dipersulit akan lapor jika tidak diselesaikan cepat,marah,3
set top box mati total diminta bukti bertele tele saya minta solusi sekarang tidak layak jual,marah,3
alat elektronik tidak sesuai deskripsi penjual tidak responsif tolong segera refund tidak sesuai deskripsi sama sekali,marah,3
smartphone mati total kualitas jauh di bawah ekspektasi tolong segera refund,marah,3
smartphone touchscreen tidak responsif paket hilang di perjalanan janji refund tapi tidak jelas akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa powerbank kabel putus penjual tidak responsif tolong segera refund,marah,3
saya kecewa smartphone kabel putus proses retur dipersulit akan lapor jika tidak diselesaikan cepat,marah,3
modem cepat panas tidak mau tanggung jawab saya minta solusi sekarang tidak sesuai deskripsi sama sekali,marah,3
flashdisk touchscreen tidak responsif pengiriman sangat lama penjual tidak responsif tolong segera refund,marah,3
earphone tidak connect bluetooth proses retur dipersulit saya minta solusi sekarang tidak sesuai deskripsi sama sekali,marah,3
hp datang sinyal hilang box penyok parah akan lapor jika tidak diselesaikan cepat,marah,3
ssd tidak menyala rugi waktu dan uang minta ganti baru segera,marah,3
speaker bluetooth datang touchscreen tidak responsif box penyok parah tolong segera refund,marah,3
saya kecewa alat elektronik tidak connect bluetooth tidak mau tanggung jawab kapok belanja di sini,marah,3
saya kecewa smartwatch layar bergaris janji refund tapi tidak jelas mohon tanggung jawab,marah,3
speaker bluetooth error sistem proses retur dipersulit saya minta solusi sekarang tidak layak jual,marah,3
earphone datang tidak menyala kurir tidak sopan harap proses retur hari ini,marah,3
saya kecewa earphone mati total komplain diabaikan tolong segera refund,marah,3
saya kecewa modem kamera blur penjual tidak responsif minta ganti baru segera,marah,3
smartphone tidak sesuai deskripsi proses retur dipersulit mohon tanggung jawab baru dipakai sebentar langsung rusak,marah,3
ssd datang error sistem status tertahan berhari hari kapok belanja di sini,marah,3
alat elektronik tidak connect bluetooth penjual tidak responsif kapok belanja di sini tidak sesuai deskripsi sama sekali,marah,3
tv rusak parah diminta bukti bertele tele kapok belanja di sini packaging asal asalan,marah,3
earphone datang tidak sesuai deskripsi alamat sudah benar tapi nyasar akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa alat elektronik cepat panas diminta bukti bertele tele saya minta solusi sekarang,marah,3
smartwatch layar bergaris diminta bukti bertele tele kapok belanja di sini packaging asal asalan,marah,3
kamera baterai drop baru dipakai sebentar langsung rusak mohon tanggung jawab,marah,3
charger datang layar retak paket hilang di perjalanan tolong segera refund,marah,3
router datang kamera blur paket datang rusak saya minta solusi sekarang,marah,3
kabel data layar retak proses retur dipersulit kapok belanja di sini kualitas jauh di bawah ekspektasi,marah,3
earphone tidak sesuai deskripsi alamat sudah benar tapi nyasar tidak mau tanggung jawab saya minta solusi sekarang,marah,3
router kabel putus tidak layak jual kapok belanja di sini,marah,3
laptop tidak sesuai deskripsi diminta bukti bertele tele minta ganti baru segera kualitas jauh di bawah ekspektasi,marah,3
saya kecewa hp touchscreen tidak responsif tidak mau tanggung jawab harap proses retur hari ini,marah,3
kabel data datang komponen tidak lengkap paket hilang di perjalanan harap proses retur hari ini,marah,3
headset datang cepat panas paket hilang di perjalanan kapok belanja di sini,marah,3
smartphone tidak sesuai deskripsi tidak layak jual akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa tablet tidak sesuai deskripsi janji refund tapi tidak jelas akan lapor jika tidak diselesaikan cepat,marah,3
saya kecewa router tidak connect bluetooth tidak mau tanggung jawab minta ganti baru segera,marah,3
smartphone error sistem alamat sudah benar tapi nyasar janji refund tapi tidak jelas tolong segera refund,marah,3
tv touchscreen tidak responsif penjual tidak responsif kapok belanja di sini packaging asal asalan,marah,3
saya kecewa harddisk sudah bekas proses retur dipersulit saya minta solusi sekarang,marah,3
drone sudah bekas proses retur dipersulit mohon tanggung jawab rugi waktu dan uang,marah,3
saya kecewa flashdisk komponen tidak lengkap tidak mau tanggung jawab mohon tanggung jawab,marah,3
earphone datang sinyal hilang barang datang terlambat banget mohon tanggung jawab,marah,3
charger layar bergaris box penyok parah komplain diabaikan harap proses retur hari ini,marah,3
